"","id","Feb1","Feb2","Feb3","Feb4","Feb5","Feb6","Feb7","Feb8","Feb9","Feb10","Feb11","Feb12","Feb13","Feb14","Feb15","Feb16","Feb17","Feb18","Feb19","Feb20","Feb21","Feb22","Feb23","Feb24","Feb25","Feb26","Feb27","Feb28","lon","lat"
"52",704,0.8,1.1,-1.6,-3.4,-1.4,-3.6,1.1,3.1,5.8,5.7,3.7,1.7,1.9,2.7,1.6,1.8,0.5,1.8,2.4,3.7,3.7,3,3.5,4.1,4,5.9,4.5,2.9,9.139,53.4451
"53",722,-6.2,-6,-6.6,-8.4,-8.9,-9.2,-5.3,-7,-2.4,-0.7,6.1,6.3,2.8,2.9,-1.3,-2.1,0.3,-0.8,1,-2.3,-2.8,-4.9,-4.6,-3.4,-3,-2.6,-3.3,-4.8,10.6183,51.7986
"54",755,0,0.1,-2.2,-3.7,-2.3,-2.3,-3.9,-0.3,0.3,1.3,0.9,-1.1,-1.6,-1.4,-0.3,0.8,-0.2,0.4,-1.3,0.9,3.1,0.6,-0.3,2.7,2.3,2.6,2.5,1.7,9.3214,49.5181
"55",757,0.5,-0.1,-2.4,-3.8,-2.1,-1.7,-3.9,-3.4,-0.8,1.3,-0.5,0.6,3.5,5.1,1,0.1,-0.3,1.7,0.3,5.2,2.8,1.7,3,3.3,2.6,3.6,3,2.3,7.998,47.9624
"56",766,-1.6,-1.6,-2.6,-3.3,-4.8,-3.6,-2.5,0.4,1.3,1.5,0.3,-0.8,-0.5,2,-1.2,-1.4,0,1.3,-2.5,3.5,1.7,0.8,0.5,1.1,1,3.4,1.8,0.5,7.0595,50.1746
"57",817,-1.4,-0.2,-1.5,-2.6,-2.5,-2.3,-1.5,1.1,2.8,3.7,1.7,-0.5,-1.1,-0.3,-0.3,-1,1.9,2,-0.3,3.7,3.9,1.9,1,2.2,2.8,4.2,2.5,1.6,8.8146,51.0306
"58",840,-4.2,-4.2,-4.7,-6.5,-8.8,-8,-6.2,-5.5,-2.6,-1,-0.2,-0.1,-3.1,-3.3,-2.9,0.2,0.2,-3.1,-1.8,-1.2,0.8,-2,-2.4,-0.7,-1.7,-1.8,-0.1,-1.7,12.6114,50.4313
"59",850,0.9,1,0,-2.6,-2.2,-2.7,-1,2.2,5,5.4,3.7,0.2,1.1,3.1,1.6,2.1,0.8,2.9,1.2,4.4,4.9,2.7,2.5,3.9,4.5,4.8,3.6,3,10.0296,52.5959
"60",853,-0.8,-0.9,-1.5,-4.1,-4.3,-4.1,-3.8,-1.5,0.4,1.8,1.1,-0.1,-0.1,0.2,1.3,3.4,1.4,0.5,0,3.3,5,1.1,1.5,2.9,1.9,2.6,2.9,1.5,12.872,50.7913
"61",856,-1.2,-0.8,-4.4,-3.6,-4.4,-4.4,-5,-2.4,-0.9,0.8,-2.6,-1.9,-2.9,-3.3,-3.5,-1.3,-2.6,-2.1,-1.5,2.5,2.9,1.1,1.8,2.7,1.7,1.6,1.6,1.8,12.5404,47.8843
